type,name
function,archive_event_v1
function,archive_team_v1
function,archive_tenant_v1
function,archive_tournament_v1
function,archive_tournament_workspace_v6
function,assert_round_set_modes_change_allowed_v1
function,assign_team_to_group_v1
function,assign_team_to_group_v2
function,audit_matches_changes_safe_v4
function,can_create_event
function,can_create_team
function,can_create_user
function,clear_knockout_bracket_v1
function,confirm_knockout_teams_v1
function,create_event_admin
function,create_event_v1
function,create_team_v1
function,create_tenant_v1
function,create_tournament_v1
function,create_tournament_workspace_v6
function,current_account_id
function,current_role
function,current_role_name
function,current_tenant_id
function,dissolve_groups_v2
function,dissolve_groups_v4
function,ensure_manage_event_access_v1
function,ensure_manage_event_for_tournament_v1
function,ensure_manage_tenants_v1
function,ensure_manage_tournaments_v1
function,event_admin_default_permissions_v1
function,expire_trial_subscriptions
function,finalize_match_score_v1
function,generate_knockout_bracket_v1
function,generate_monthly_invoices
function,generate_round_robin_schedule
function,generate_schedule_v1
function,get_current_profile
function,get_match_round_key_v1
function,get_match_scoring_rule_v1
function,get_match_set_mode_v1
function,get_public_tournament_snapshot_v1
function,get_tournament_owner
function,get_tournament_workspace_dashboard_v6
function,get_workspace_context_v1
function,grant_event_access_v1
function,hard_delete_event_v1
function,hard_delete_tenant_v1
function,hard_delete_tournament_v1
function,has_event_access
function,has_event_permission
function,has_feature
function,has_permission
function,import_teams_v1
function,invalidate_account_sessions_v1
function,list_accessible_workspaces_v1
function,list_account_access_summary_v1
function,list_archived_events_v1
function,list_archived_tenants_v1
function,list_archived_tournaments_v1
function,list_event_access_v1
function,list_events_by_tournament_v1
function,list_permission_tree_v1
function,list_tenants_v1
function,list_tournaments_v1
function,log_audit_event_v1
function,normalize_round_scoring_rules_v1
function,normalize_round_set_modes_v1
function,p06_group_label
function,p06_require_event_admin_v1
function,p10_core_reset_match_score_v1
function,p10_core_update_match_score_v1
function,p10_core_update_match_set_score_v1
function,p10_has_event_permission_v1
function,p10_require_event_admin_v1
function,p10_require_match_score_context_v1
function,p10_validate_event_context_v1
function,p12_knockout_seed_label_v1
function,p12_propagate_knockout_winner_v1
function,p12_rank_label_v1
function,p12_reset_knockout_downstream_v1
function,p12_short_ko_label_v1
function,p22_assert_group_stage_change_allowed_v1
function,p22_sync_knockout_after_group_stage_change_v1
function,prepare_knockout_candidates_v1
function,record_login_session_v1
function,reset_match_score_v1
function,resolve_knockout_slots_v1
function,restore_event_v1
function,restore_tenant_v1
function,restore_tournament_v1
function,revoke_event_access_v1
function,save_manual_knockout_bracket_v1
function,setup_groups_v2
function,setup_groups_v3
function,setup_groups_v4
function,touch_updated_at
function,transfer_tournament_owner_v6
function,trg_auto_advance_winner
function,trg_check_event_quota
function,trg_check_team_quota
function,trg_matches_cascade_on_group_delete
function,trg_matches_cascade_on_team_delete
function,trigger_auto_assign_event
function,update_event_config_v1
function,update_event_v1
function,update_match_score_v1
function,update_match_set_score_v1
function,update_match_status_v1
function,update_modified_column
function,update_team_v1
function,update_tenant_v1
function,update_tournament_v1
function,validate_event_config_v1
