"File","Type","Name"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\20260617_commercial_beta_v1_group_contracts.sql","function","dissolve_groups_v2"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\20260617_commercial_beta_v1_group_contracts.sql","function","record_login_session_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\20260617_commercial_beta_v1_group_contracts.sql","function","setup_groups_v2"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\20260618_commercial_beta_v1_grouping_contract.sql","function","assign_team_to_group_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\20260618_commercial_beta_v1_grouping_contract.sql","function","setup_groups_v3"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\002_multisport_event_matchsets.sql","alter_table","events"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\002_multisport_event_matchsets.sql","alter_table","match_sets"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\002_multisport_event_matchsets.sql","alter_table","sports"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\002_multisport_event_matchsets.sql","drop","policy:match_sets_delete_scoped"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\002_multisport_event_matchsets.sql","drop","policy:match_sets_insert_scoped"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\002_multisport_event_matchsets.sql","drop","policy:match_sets_select_scoped"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\002_multisport_event_matchsets.sql","drop","policy:match_sets_update_scoped"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\002_multisport_event_matchsets.sql","drop","policy:sports_admin_write"
