file,object_count,live_matches,live_match_ratio,object_types,objects,matched_objects
ENTERPRISE_ACCOUNT_SQL.sql,28,20,0.71,function;table;trigger;index;drop,function:update_modified_column; table:tenants; table:roles; table:permissions; table:accounts; table:account_permissions; table:account_event_permissions; table:active_sessions; table:login_logs; trigger:update_tenants_modtime; trigger:update_roles_modtime; trigger:update_accounts_modtime; index:idx_tenants_slug; index:idx_accounts_tenant_id; index:idx_accounts_user_id; index:idx_acct_perms_account; index:idx_acct_event_perms_account; index:idx_active_sessions_account; index:idx_login_logs_account; index:idx_login_logs_created_at; drop:table:login_logs; drop:table:active_sessions; drop:table:account_event_permissions; drop:table:account_permissions; drop:table:accounts; drop:table:permissions; drop:table:roles; drop:table:tenants,function:update_modified_column; table:tenants; table:roles; table:permissions; table:accounts; table:account_permissions; table:account_event_permissions; table:active_sessions; table:login_logs; trigger:update_tenants_modtime; trigger:update_roles_modtime; trigger:update_accounts_modtime; index:idx_tenants_slug; index:idx_accounts_tenant_id; index:idx_accounts_user_id; index:idx_acct_perms_account; index:idx_acct_event_perms_account; index:idx_active_sessions_account; index:idx_login_logs_account; index:idx_login_logs_created_at
ENTERPRISE_ACCOUNT_SQL_v2.sql,31,20,0.65,function;table;trigger;index;drop,function:update_modified_column; table:tenants; table:roles; table:permissions; table:accounts; table:account_permissions; table:account_event_permissions; table:active_sessions; table:login_logs; trigger:update_tenants_modtime; trigger:update_roles_modtime; trigger:update_accounts_modtime; index:idx_tenants_slug; index:idx_accounts_tenant_id; index:idx_accounts_user_id; index:idx_acct_perms_account; index:idx_acct_event_perms_account; index:idx_active_sessions_account; index:idx_login_logs_account; index:idx_login_logs_created_at; drop:trigger:update_tenants_modtime; drop:trigger:update_roles_modtime; drop:trigger:update_accounts_modtime; drop:table:login_logs; drop:table:active_sessions; drop:table:account_event_permissions; drop:table:account_permissions; drop:table:accounts; drop:table:permissions; drop:table:roles; drop:table:tenants,function:update_modified_column; table:tenants; table:roles; table:permissions; table:accounts; table:account_permissions; table:account_event_permissions; table:active_sessions; table:login_logs; trigger:update_tenants_modtime; trigger:update_roles_modtime; trigger:update_accounts_modtime; index:idx_tenants_slug; index:idx_accounts_tenant_id; index:idx_accounts_user_id; index:idx_acct_perms_account; index:idx_acct_event_perms_account; index:idx_active_sessions_account; index:idx_login_logs_account; index:idx_login_logs_created_at
ENTERPRISE_RLS_FINAL.sql,22,10,0.45,function;policy;alter_table;drop,function:get_auth_account_id; function:get_auth_account_tenant_id; function:get_auth_account_role; policy:accounts_isolation on accounts; policy:activesessions_isolation on active_sessions; policy:loginlogs_isolation on login_logs; policy:groups_isolation on groups; policy:teams_isolation on teams; policy:matches_isolation on matches; policy:acctperms_isolation on account_permissions; policy:acctevtperms_isolation on account_event_permissions; policy:tournament_isolation on tournament; alter_table:accounts; alter_table:active_sessions; alter_table:login_logs; alter_table:groups; alter_table:teams; alter_table:matches; alter_table:account_permissions; alter_table:account_event_permissions; alter_table:tournament; drop:policy:if,policy:loginlogs_isolation on login_logs; alter_table:accounts; alter_table:active_sessions; alter_table:login_logs; alter_table:groups; alter_table:teams; alter_table:matches; alter_table:account_permissions; alter_table:account_event_permissions; alter_table:tournament
PHASE_1_SAFE_FIXES.sql,13,10,0.77,function;index;alter_table,function:current_tenant_id; function:current_role; index:idx_active_sessions_token; index:idx_accounts_username; index:idx_acct_evt_event_id; alter_table:tenants; alter_table:roles; alter_table:permissions; alter_table:accounts; alter_table:account_permissions; alter_table:account_event_permissions; alter_table:active_sessions; alter_table:login_logs,function:current_tenant_id; function:current_role; alter_table:tenants; alter_table:roles; alter_table:permissions; alter_table:accounts; alter_table:account_permissions; alter_table:account_event_permissions; alter_table:active_sessions; alter_table:login_logs
PHASE_2_TENANT_ISOLATION.sql,6,0,0.00,policy;drop,policy:tenant_isolation_events on events; policy:tenant_isolation_teams on teams; policy:tenant_isolation_groups on groups; policy:tenant_isolation_matches on matches; policy:tenant_isolation_tournament on tournament; drop:policy:if,
PHASE_3_PERMISSION_HARDENING.sql,10,3,0.30,policy;drop,policy:roles_read_only on roles; policy:permissions_read_only on permissions; policy:tenants_read_only on tenants; policy:accounts_select on accounts; policy:accounts_insert on accounts; policy:accounts_update on accounts; policy:sessions_select_self on active_sessions; policy:accounteventperms_select on account_event_permissions; policy:accounteventperms_modify on account_event_permissions; drop:policy:if,policy:accounts_select on accounts; policy:accounts_insert on accounts; policy:accounts_update on accounts
PHASE_4_PRODUCTION_LOCKDOWN.sql,18,14,0.78,function;policy;trigger;alter_table;drop,function:system_audit_trigger; policy:auditlogs_select on audit_logs; trigger:audit_accounts; alter_table:tournament; alter_table:events; alter_table:teams; alter_table:groups; alter_table:matches; alter_table:audit_logs; alter_table:accounts; alter_table:roles; alter_table:permissions; alter_table:account_permissions; alter_table:account_event_permissions; alter_table:active_sessions; alter_table:login_logs; alter_table:tenants; drop:trigger:audit_accounts,alter_table:tournament; alter_table:events; alter_table:teams; alter_table:groups; alter_table:matches; alter_table:audit_logs; alter_table:accounts; alter_table:roles; alter_table:permissions; alter_table:account_permissions; alter_table:account_event_permissions; alter_table:active_sessions; alter_table:login_logs; alter_table:tenants
RLS_DEPLOYMENT_SQL.sql,35,6,0.17,table;policy;alter_table;drop,table:backup_tournament; table:backup_events; table:backup_groups; table:backup_teams; table:backup_matches; table:backup_audit_logs; policy:public_select_tournament on tournament; policy:admin1_full_tournament on tournament; policy:admin2_tenant_tournament on tournament; policy:public_select_events on events; policy:public_select_groups on groups; policy:public_select_teams on teams; policy:admin1_full_events on events; policy:admin1_full_groups on groups; policy:admin1_full_teams on teams; policy:admin2_tenant_events on events; policy:admin2_tenant_groups on groups; policy:admin2_tenant_teams on teams; policy:public_select_matches on matches; policy:admin1_full_matches on matches; policy:admin2_tenant_matches on matches; policy:admin3_restricted_matches on matches; policy:admin1_full_audit on audit_logs; policy:admin2_tenant_audit on audit_logs; policy:admins_insert_audit on audit_logs; policy:users_read_own_account on accounts; policy:users_manage_own_sessions on active_sessions; policy:users_read_own_login_logs on login_logs; alter_table:tournament; alter_table:events; alter_table:groups; alter_table:teams; alter_table:matches; alter_table:audit_logs; drop:policy:if,alter_table:tournament; alter_table:events; alter_table:groups; alter_table:teams; alter_table:matches; alter_table:audit_logs
SUPABASE_SCHEMA_REFERENCE.sql,19,19,1.00,table,table:tournament; table:events; table:teams; table:groups; table:matches; table:audit_logs; table:tenants; table:roles; table:permissions; table:accounts; table:account_permissions; table:account_event_permissions; table:active_sessions; table:login_logs; table:subscription_plans; table:tenant_subscriptions; table:invoices; table:payments; table:plan_features,table:tournament; table:events; table:teams; table:groups; table:matches; table:audit_logs; table:tenants; table:roles; table:permissions; table:accounts; table:account_permissions; table:account_event_permissions; table:active_sessions; table:login_logs; table:subscription_plans; table:tenant_subscriptions; table:invoices; table:payments; table:plan_features
enterprise_v4.sql,41,36,0.88,function;policy;trigger;index;alter_table;drop,function:current_account_id; function:current_tenant_id; function:current_role_name; function:has_permission; function:has_event_access; function:trigger_auto_assign_event; function:audit_matches_changes_v4; policy:events_select on events; policy:events_insert on events; policy:events_update on events; policy:events_delete on events; policy:teams_select on teams; policy:teams_insert on teams; policy:teams_update on teams; policy:teams_delete on teams; policy:groups_select on groups; policy:groups_insert on groups; policy:groups_update on groups; policy:groups_delete on groups; policy:matches_select on matches; policy:matches_insert on matches; policy:matches_update on matches; policy:matches_delete on matches; trigger:trg_auto_assign_event_after_insert; trigger:trg_audit_matches_v4; index:idx_events_tenant_id; index:idx_teams_event_id; index:idx_teams_tenant_id; index:idx_groups_event_id; index:idx_groups_tenant_id; index:idx_matches_event_id; index:idx_matches_tenant_id; index:idx_account_event_perms_account_id; index:idx_account_event_perms_event_id; alter_table:events; alter_table:teams; alter_table:groups; alter_table:matches; drop:trigger:trg_auto_assign_event_after_insert; drop:trigger:trg_audit_matches_v4; drop:policy:if,function:current_account_id; function:current_tenant_id; function:current_role_name; function:has_permission; function:has_event_access; function:trigger_auto_assign_event; policy:events_select on events; policy:events_insert on events; policy:events_update on events; policy:events_delete on events; policy:teams_select on teams; policy:teams_insert on teams; policy:teams_update on teams; policy:teams_delete on teams; policy:groups_select on groups; policy:groups_insert on groups; policy:groups_update on groups; policy:groups_delete on groups; policy:matches_select on matches; policy:matches_insert on matches; policy:matches_update on matches; policy:matches_delete on matches; trigger:trg_auto_assign_event_after_insert; index:idx_events_tenant_id; index:idx_teams_event_id; index:idx_teams_tenant_id; index:idx_groups_event_id; index:idx_groups_tenant_id; index:idx_matches_event_id; index:idx_matches_tenant_id; index:idx_account_event_perms_account_id; index:idx_account_event_perms_event_id; alter_table:events; alter_table:teams; alter_table:groups; alter_table:matches
