"File","ObjectCount","MatchedInMigrations","MatchRatio","ObjectTypes","Objects","MatchedObjects"
"ENTERPRISE_ACCOUNT_SQL.sql","28","0","0","drop,function,index,table,trigger","drop:table:account_event_permissions; drop:table:account_permissions; drop:table:accounts; drop:table:active_sessions; drop:table:login_logs; drop:table:permissions; drop:table:roles; drop:table:tenants; function:update_modified_column; index:idx_accounts_tenant_id; index:idx_accounts_user_id; index:idx_acct_event_perms_account; index:idx_acct_perms_account; index:idx_active_sessions_account; index:idx_login_logs_account; index:idx_login_logs_created_at; index:idx_tenants_slug; table:account_event_permissions; table:account_permissions; table:accounts; table:active_sessions; table:login_logs; table:permissions; table:roles; table:tenants; trigger:update_accounts_modtime; trigger:update_roles_modtime; trigger:update_tenants_modtime",""
"ENTERPRISE_ACCOUNT_SQL_v2.sql","31","0","0","drop,function,index,table,trigger","drop:table:account_event_permissions; drop:table:account_permissions; drop:table:accounts; drop:table:active_sessions; drop:table:login_logs; drop:table:permissions; drop:table:roles; drop:table:tenants; drop:trigger:update_accounts_modtime; drop:trigger:update_roles_modtime; drop:trigger:update_tenants_modtime; function:update_modified_column; index:idx_accounts_tenant_id; index:idx_accounts_user_id; index:idx_acct_event_perms_account; index:idx_acct_perms_account; index:idx_active_sessions_account; index:idx_login_logs_account; index:idx_login_logs_created_at; index:idx_tenants_slug; table:account_event_permissions; table:account_permissions; table:accounts; table:active_sessions; table:login_logs; table:permissions; table:roles; table:tenants; trigger:update_accounts_modtime; trigger:update_roles_modtime; trigger:update_tenants_modtime",""
"ENTERPRISE_RLS_FINAL.sql","22","5","0.23","alter_table,drop,function,policy","alter_table:account_event_permissions; alter_table:account_permissions; alter_table:accounts; alter_table:active_sessions; alter_table:groups; alter_table:login_logs; alter_table:matches; alter_table:teams; alter_table:tournament; drop:policy:if; function:get_auth_account_id; function:get_auth_account_role; function:get_auth_account_tenant_id; policy:accounts_isolation on accounts; policy:acctevtperms_isolation on account_event_permissions; policy:acctperms_isolation on account_permissions; policy:activesessions_isolation on active_sessions; policy:groups_isolation on groups; policy:loginlogs_isolation on login_logs; policy:matches_isolation on matches; policy:teams_isolation on teams; policy:tournament_isolation on tournament","alter_table:account_event_permissions; alter_table:accounts; alter_table:active_sessions; alter_table:matches; alter_table:tournament"
"enterprise_v4.sql","41","7","0.17","alter_table,drop,function,index,policy,trigger","alter_table:events; alter_table:groups; alter_table:matches; alter_table:teams; drop:policy:if; drop:trigger:trg_audit_matches_v4; drop:trigger:trg_auto_assign_event_after_insert; function:audit_matches_changes_v4; function:current_account_id; function:current_role_name; function:current_tenant_id; function:has_event_access; function:has_permission; function:trigger_auto_assign_event; index:idx_account_event_perms_account_id; index:idx_account_event_perms_event_id; index:idx_events_tenant_id; index:idx_groups_event_id; index:idx_groups_tenant_id; index:idx_matches_event_id; index:idx_matches_tenant_id; index:idx_teams_event_id; index:idx_teams_tenant_id; policy:events_delete on events; policy:events_insert on events; policy:events_select on events; policy:events_update on events; policy:groups_delete on groups; policy:groups_insert on groups; policy:groups_select on groups; policy:groups_update on groups; policy:matches_delete on matches; policy:matches_insert on matches; policy:matches_select on matches; policy:matches_update on matches; policy:teams_delete on teams; policy:teams_insert on teams; policy:teams_select on teams; policy:teams_update on teams; trigger:trg_audit_matches_v4; trigger:trg_auto_assign_event_after_insert","alter_table:events; alter_table:matches; function:current_account_id; function:current_role_name; function:current_tenant_id; function:has_event_access; function:has_permission"
"enterprise_v5_tournament_manager.sql","2","0","0","function,index","function:create_event_admin_tournament; index:idx_tournament_slug_unique",""
"final_architecture_updates.sql","13","0","0","drop,function,policy,trigger","drop:policy:if; drop:trigger:trg_audit_matches; function:audit_matches_changes; function:get_bootstrap_context; policy:events_delete on events; policy:events_insert on events; policy:events_select on events; policy:events_update on events; policy:matches_delete on matches; policy:matches_insert on matches; policy:matches_select on matches; policy:matches_update on matches; trigger:trg_audit_matches",""
"migration.sql","32","8","0.25","alter_table,drop,function,policy","alter_table:account_event_permissions; alter_table:account_permissions; alter_table:accounts; alter_table:active_sessions; alter_table:audit_logs; alter_table:events; alter_table:groups; alter_table:login_logs; alter_table:matches; alter_table:permissions; alter_table:roles; alter_table:teams; alter_table:tenants; drop:policy:if; function:current_role_name; function:current_tenant_id; policy:account_event_permissions_rls on account_event_permissions; policy:account_permissions_rls on account_permissions; policy:accounts_delete on accounts; policy:accounts_insert on accounts; policy:accounts_select on accounts; policy:accounts_update on accounts; policy:active_sessions_rls on active_sessions; policy:audit_logs_rls on audit_logs; policy:events_rls on events; policy:groups_rls on groups; policy:login_logs_rls on login_logs; policy:matches_rls on matches; policy:permissions_read on permissions; policy:roles_read on roles; policy:teams_rls on teams; policy:tenants_read on tenants","alter_table:account_event_permissions; alter_table:accounts; alter_table:active_sessions; alter_table:events; alter_table:matches; alter_table:tenants; function:current_role_name; function:current_tenant_id"
"migration_event_management.sql","4","1","0.25","alter_table,index","alter_table:events; index:idx_events_slug; index:idx_events_status; index:idx_events_tenant_status","alter_table:events"
"migration_get_profile.sql","1","1","1","function","function:get_current_profile","function:get_current_profile"
"migration_phase4.sql","27","0","0","alter_table,drop,function,index,policy,table,trigger","alter_table:invoices; alter_table:payments; alter_table:subscription_plans; alter_table:tenant_subscriptions; drop:policy:invoices_select; drop:policy:payments_select; drop:policy:plans_select; drop:policy:subscriptions_select; drop:trigger:trg_subscription_updated_at; function:touch_updated_at; index:idx_invoice_date; index:idx_invoice_status; index:idx_invoice_tenant; index:idx_payment_status; index:idx_subscription_tenant; index:idx_subscriptions_end_date; index:idx_subscriptions_status; index:uq_invoice_period; policy:invoices_select on invoices; policy:payments_select on payments; policy:plans_select on subscription_plans; policy:subscriptions_select on tenant_subscriptions; table:invoices; table:payments; table:subscription_plans; table:tenant_subscriptions; trigger:trg_subscription_updated_at",""
